,ENTITY_CD,AVG_TEACHER_RATING,DISTRICT_BEDS,DISTRICT_NAME,SCHOOL_NAME,TESTED,AVG_TEST_LEVEL,FORCED_CLUSTER,NUM_FREE_LUNCH,PER_FREE_LUNCH,NUM_REDUCED_LUNCH,PER_REDUCED_LUNCH,NUM_LEP,PER_LEP,NUM_AM_IND,PER_AM_IND,NUM_BLACK,PER_BLACK,NUM_HISP,PER_HISP,NUM_ASIAN,PER_ASIAN,NUM_WHITE,PER_WHITE,NUM_Multi,PER_Multi,NUM_SWD,PER_SWD,NUM_FEMALE,PER_FEMALE,NUM_MALE,PER_MALE,NUM_ECDIS,PER_ECDIS,DISTRICT_CD,CSO_NAME,STREET,CITY,PHONE,GRADE_RANGE,NUM_TEACH,NUM_NO_VALID_CERT,PER_NO_VALID_CERT,NUM_TEACH_OUT_CERT,PER_TEACH_OUT_CERT,NUM_FEWER_3YRS_EXP,PER_FEWER_3YRS_EXP,NUM_MAS_PLUS,PER_MAS_PLUS,NUM_CORE,PER_NOT_HQ,NUM_CLASS,NUM_NO_APPROP_CERT,PER_NO_APPROP_CERT,PER_TURN_FIVE_YRS,PER_TURN_ALL,NUM_FT_OTH_PROF_STAFF,NUM_PT_OTH_PROF_STAFF,NUM_FT_PARAPROFESSIONALS,NUM_PT_PARAPROFESSIONALS,NUM_FT_ASST_PRINCIPALS,NUM_PT_ASST_PRINCIPALS,NUM_FT_PRINCIPALS,NUM_PT_PRINCIPALS
0,310100010184,83.09375,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,PS 184 SHUANG WEN,53,4.05,1,389,61,69,11,93,15,9,1,18,3,54,8,502,79,50,8,5,1,78.0,12.0,322.0,50.0,316.0,50.0,458.0,72.0,31010001.0,IRIS CHIU,327 CHERRY ST-2ND FL,NEW YORK,2126029700.0,"PK-8, UE",38.0,0.0,0.0,1.0,3.0,9.0,24.0,17.0,45.0,66.0,2.0,88.0,2.0,2.0,29.0,31.0,2,0,0,0,2,0,1,0
1,310100010839,92.77777777777777,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,TOMPKINS SQUARE MIDDLE SCHOOL,20,4.0,1,224,60,36,10,19,5,3,1,57,15,159,42,86,23,65,17,6,2,100.0,27.0,203.0,54.0,173.0,46.0,260.0,69.0,31010001.0,SONHANDO ESTWICK,600 E 6TH ST,NEW YORK,2129951430.0,"6-8, US",29.0,1.0,3.0,5.0,17.0,6.0,21.0,11.0,38.0,79.0,15.0,97.0,12.0,12.0,0.0,24.0,4,0,0,0,1,0,1,0
2,310100011292,77.86666666666666,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,23,1.7400000000000002,0,256,82,7,2,63,20,4,1,82,26,167,53,44,14,10,3,7,2,105.0,33.0,123.0,39.0,191.0,61.0,263.0,84.0,31010001.0,CHRISTINE LOUGHLIN,220 HENRY ST,NEW YORK,2124069411.0,6-12,30.0,1.0,3.0,4.0,13.0,4.0,13.0,9.0,30.0,87.0,2.0,145.0,19.0,13.0,11.0,21.0,2,0,0,0,2,0,1,0
3,310100011515,89.5625,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,78,3.05,1,205,43,3,1,352,73,1,0,43,9,100,21,323,67,4,1,9,2,12.0,3.0,203.0,42.0,277.0,58.0,209.0,44.0,31010001.0,MARTHA POLIN,145 STANTON ST-4TH FL,NEW YORK,2125056366.0,10-12,32.0,0.0,0.0,2.0,6.0,2.0,6.0,21.0,66.0,102.0,6.0,145.0,8.0,6.0,0.0,15.0,5,0,0,0,2,0,1,0
4,310100011650,80.875,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,CASCADES HIGH SCHOOL,9,1.8900000000000001,0,153,72,14,7,4,2,0,0,91,43,107,50,2,1,11,5,1,0,21.0,10.0,120.0,57.0,92.0,43.0,167.0,79.0,31010001.0,PAUL ROTONDO,198 FORSYTH ST-3RD FL,NEW YORK,6466541261.0,9-12,13.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,54.0,84.0,0.0,97.0,0.0,0.0,0.0,17.0,1,0,0,0,1,0,1,0
5,310100011696,92.78571428571429,310100010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,BARD HIGH SCHOOL EARLY COLLEGE,108,3.6799999999999997,1,137,24,25,4,3,1,0,0,80,14,106,19,94,17,274,49,9,2,5.0,1.0,343.0,61.0,220.0,39.0,162.0,29.0,31010001.0,MICHAEL LERNER,525 E HOUSTON ST,NEW YORK,2129958479.0,9-12,27.0,0.0,0.0,1.0,4.0,1.0,4.0,18.0,67.0,91.0,1.0,107.0,1.0,1.0,25.0,16.0,2,0,0,0,2,0,1,0
6,310200010047,76.17647058823529,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,AMERICAN SIGN LANGUAGE & ENGLISH SECONDARY SCHOOL,33,2.0700000000000003,0,148,81,5,3,18,10,0,0,48,26,120,66,5,3,9,5,1,1,58.0,32.0,108.0,59.0,75.0,41.0,153.0,84.0,31020001.0,WATFA SHAMA,223 E 23RD ST,NEW YORK,9173266668.0,"9-12, US",22.0,0.0,0.0,6.0,27.0,7.0,32.0,10.0,45.0,78.0,23.0,103.0,26.0,25.0,20.0,11.0,6,0,0,0,2,0,1,0
7,310200010114,90.16129032258064,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,EAST SIDE MIDDLE SCHOOL,49,4.0600000000000005,1,49,11,13,3,0,0,5,1,15,3,44,10,54,12,325,73,2,0,76.0,17.0,234.0,53.0,211.0,47.0,62.0,14.0,31020001.0,DAVID GETZ,331 E 91ST ST,NEW YORK,2123600114.0,6-8,30.0,0.0,0.0,3.0,10.0,4.0,13.0,11.0,37.0,76.0,11.0,105.0,8.0,8.0,14.0,16.0,2,0,0,0,1,0,1,0
8,310200010126,86.68085106382979,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,PS 126 JACOB AUGUST RIIS,104,3.73,1,572,73,44,6,157,20,0,0,74,9,179,23,443,56,83,11,8,1,141.0,18.0,396.0,50.0,391.0,50.0,616.0,78.0,31020001.0,JACQUELINE GETZ,80 CATHERINE ST,NEW YORK,2129622188.0,PK-8,60.0,0.0,0.0,1.0,2.0,4.0,7.0,30.0,50.0,110.0,0.0,171.0,1.0,1.0,0.0,4.0,9,0,0,0,2,0,1,0
9,310200010131,88.11111111111111,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,MS 131 ,18,3.61,1,389,89,31,7,195,45,0,0,40,9,62,14,330,76,2,0,1,0,105.0,24.0,202.0,46.0,233.0,54.0,420.0,97.0,31020001.0,PHYLLIS TAM,100 HESTER ST,NEW YORK,2122191204.0,"6-8, US",39.0,0.0,0.0,1.0,3.0,6.0,15.0,21.0,54.0,89.0,4.0,128.0,4.0,3.0,33.0,13.0,11,0,0,0,1,0,1,0
10,310200010312,86.88888888888889,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,NYC LAB MS FOR COLLABORATIVE STUDIES,125,4.42,1,154,27,33,6,2,0,0,0,16,3,52,9,237,41,224,39,46,8,89.0,15.0,287.0,50.0,288.0,50.0,187.0,33.0,31020001.0,MEGAN ADAMS,333 W 17TH ST,NEW YORK,2126916119.0,6-8,34.0,0.0,0.0,5.0,15.0,4.0,12.0,14.0,41.0,95.0,15.0,130.0,15.0,12.0,0.0,12.0,3,0,0,0,1,0,1,0
11,310200010414,80.76470588235294,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,NYC MUSEUM SCHOOL,100,3.0,1,303,66,46,10,5,1,1,0,61,13,192,42,144,31,63,14,1,0,36.0,8.0,264.0,57.0,198.0,43.0,349.0,76.0,31020001.0,DARLENE MILLER,333 W 17TH ST,NEW YORK,2126756206.0,9-12,24.0,0.0,0.0,8.0,33.0,1.0,4.0,13.0,54.0,100.0,21.0,117.0,31.0,26.0,0.0,16.0,2,1,0,0,1,0,1,0
12,310200011135,82.16666666666667,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,108,2.27,0,85,74,5,4,8,7,0,0,26,23,81,70,5,4,3,3,0,0,21.0,18.0,74.0,64.0,41.0,36.0,90.0,78.0,31020001.0,RODOLFO ELIZONDO,439 W 49TH ST,NEW YORK,,9,9.0,1.0,11.0,2.0,22.0,3.0,33.0,2.0,22.0,6.0,17.0,15.0,4.0,27.0,,,2,0,0,0,1,0,1,0
13,310200011316,82.14285714285714,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,95,1.69,0,327,77,28,7,22,5,0,0,210,50,182,43,20,5,7,2,4,1,89.0,21.0,423.0,100.0,0.0,0.0,355.0,84.0,31020001.0,PATRICIA MINAYA,26 BROADWAY,NEW YORK,2126680169.0,"9-12, US",23.0,0.0,0.0,10.0,43.0,13.0,57.0,7.0,30.0,114.0,15.0,150.0,41.0,27.0,13.0,36.0,4,0,0,0,1,1,1,0
14,310200011392,83.33333333333333,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,MANHATTAN BUSINESS ACADEMY,149,2.08,0,319,75,33,8,29,7,3,1,125,29,254,60,16,4,17,4,10,2,71.0,17.0,165.0,39.0,260.0,61.0,352.0,83.0,31020001.0,KAREN POLSONETTI,351 W 18TH ST,NEW YORK,2126471983.0,"9-12, US",29.0,0.0,0.0,5.0,17.0,6.0,21.0,8.0,28.0,99.0,6.0,138.0,23.0,17.0,25.0,24.0,4,0,0,0,2,0,1,0
15,310200011393,79.22857142857143,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,BUSINESS OF SPORTS SCHOOL,116,1.85,0,259,63,8,2,26,6,2,0,162,39,229,55,8,2,10,2,3,1,93.0,22.0,118.0,29.0,296.0,71.0,267.0,64.0,31020001.0,JOSHUA SOLOMON,439 W 49TH ST,NEW YORK,2122462183.0,9-12,31.0,0.0,0.0,1.0,3.0,9.0,29.0,12.0,39.0,71.0,0.0,142.0,3.0,2.0,27.0,29.0,4,0,0,0,2,0,1,0
16,310200011400,83.44827586206897,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES ,194,2.19,0,929,70,87,7,96,7,4,0,205,16,781,59,223,17,102,8,3,0,219.0,17.0,655.0,50.0,663.0,50.0,1016.0,77.0,31020001.0,SHIRLEY MATTHEWS,444 W 56TH ST,NEW YORK,2122628113.0,"9-12, US",64.0,1.0,2.0,6.0,9.0,3.0,5.0,26.0,41.0,252.0,10.0,299.0,26.0,9.0,7.0,12.0,9,0,0,0,6,0,1,0
17,310200011407,91.0,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,INSTITUTE FOR COLLABORATIVE EDUCATION,5,3.0,1,95,21,13,3,1,0,4,1,54,12,79,17,36,8,252,54,38,8,37.0,8.0,230.0,50.0,233.0,50.0,108.0,23.0,31020001.0,PETER KARP,345 E 15TH ST,NEW YORK,2124757972.0,6-12,25.0,0.0,0.0,3.0,12.0,6.0,24.0,9.0,36.0,78.0,10.0,87.0,14.0,16.0,0.0,19.0,1,1,0,0,1,0,1,0
18,310200011420,92.75675675675676,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,HIGH SCHOOL FOR HEALTH PROFESSIONS & HUMAN SERVICES,145,2.8199999999999994,1,1059,62,38,2,85,5,3,0,372,22,847,50,374,22,101,6,2,0,222.0,13.0,1180.0,69.0,519.0,31.0,1097.0,65.0,31020001.0,ROBERT GENTILE,345 E 15TH ST,NEW YORK,2127809175.0,"9-12, US",82.0,0.0,0.0,2.0,2.0,11.0,13.0,41.0,50.0,301.0,1.0,388.0,12.0,3.0,30.0,20.0,11,0,0,0,7,0,1,0
19,310200011422,83.09677419354838,310200010000,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,QUEST TO LEARN,131,2.27,0,183,38,19,4,15,3,5,1,69,14,169,35,44,9,177,37,16,3,137.0,29.0,142.0,30.0,338.0,70.0,203.0,42.0,31020001.0,ELISA ARAGON,351 W 18TH ST,NEW YORK,2124883645.0,6-10,31.0,0.0,0.0,5.0,16.0,14.0,45.0,6.0,19.0,132.0,12.0,171.0,20.0,12.0,17.0,23.0,4,1,0,0,1,0,1,0
