"ENTITY_CD","ENTITY_NAME","YEAR","PK","KHALF","KFULL","1","2","3","4","5","6","7","8","9","10","11","12","UGE","UGS"
"000010000000","COLUMBIA County",2012,125,0,603,503,546,541,561,532,589,572,564,710,651,621,622,15,54
"000011000000","CORTLAND County",2012,232,0,511,509,496,478,505,499,482,535,550,528,513,495,531,11,11
"000012000000","DELAWARE County",2012,227,0,446,413,407,391,380,399,439,447,418,502,434,457,476,12,15
"000013000000","DUTCHESS County",2012,400,1470,1225,2999,3101,3234,3176,3304,3433,3376,3511,3815,3657,3580,3577,37,60
"000014000000","ERIE County",2012,5331,83,8927,9072,9228,9421,9583,9739,9902,9837,9782,10182,9901,9571,9785,388,639
"000000000001","NYC Public Schools",2014,55625,0,73987,79226,75278,73069,70770,68599,67037,68011,70409,84206,80323,66325,62476,9500,10362
"000000000002","Large Cities",2014,7176,0,9042,9214,8840,8074,8071,7972,7844,7946,7718,9322,7647,6364,6630,577,785
"000000000003","High Need/Resource Urban-Suburban Districts",2014,11043,993,16412,17187,16748,15642,15098,15111,14759,14895,14579,16519,15254,13427,13380,944,1141
"000000000004","High Need/Resource Rural Districts",2014,6557,25,12061,11763,11537,11004,11044,11140,11160,11716,11661,12314,11712,11062,10925,406,744
"000015000000","ESSEX County",2012,135,0,306,277,257,273,250,301,279,317,304,352,338,321,347,9,15
"000016000000","FRANKLIN County",2012,330,0,564,544,551,526,521,551,550,559,563,607,631,613,644,24,26
"000017000000","FULTON County",2012,330,0,624,605,599,597,638,627,643,667,655,796,666,615,665,8,20
"000018000000","GENESEE County",2012,413,0,634,629,602,611,635,646,664,657,645,718,666,698,721,22,25
"000019000000","GREENE County",2012,162,0,467,479,448,457,470,463,467,475,543,573,545,526,532,17,28
"000000000005","Average Need Districts",2014,17990,3058,51103,55406,55639,55180,56414,58314,58240,59069,60356,62402,61347,59476,61160,2527,3968
"000000000006","Low Need Districts",2014,2862,3027,20120,24883,25592,26125,27836,28719,28905,30483,32159,31313,31945,32215,32806,993,1589
"000000000007","Charter Schools",2014,0,0,11635,10978,9622,8527,7220,8330,8366,6656,5236,6000,4195,2875,2188,54,45
"000001000000","ALBANY County",2014,953,218,2613,2952,2937,2878,2853,2969,2924,2956,3025,3191,3092,2886,2886,150,230
"000000000001","NYC Public Schools",2013,22369,0,75998,77633,74089,72780,70951,68875,68384,69937,69479,85940,81523,65092,62642,9014,10682
"000000000002","Large Cities",2013,4892,0,8934,8891,8165,8028,8062,7832,7996,7813,7688,9000,7760,6217,6377,524,749
"000000000003","High Need/Resource Urban-Suburban Districts",2013,4466,1593,15881,17292,16092,15395,15613,14991,14960,14938,14702,16572,14983,13744,13682,927,1049
"000000000004","High Need/Resource Rural Districts",2013,5206,28,11996,11660,11084,11055,11042,11025,11454,11743,11724,12308,11626,11098,11381,387,661
"000000000005","Average Need Districts",2013,9999,4617,50313,55995,55539,56708,58304,58097,59704,60459,60561,63274,61895,60806,62758,2471,3764
"000000000006","Low Need Districts",2013,1136,3939,19730,25024,25728,27378,28401,28566,29019,31996,31837,31880,32301,32826,32966,961,1453
"000000000007","Charter Schools",2013,0,0,9650,9397,8703,7589,5901,7244,6880,5534,4558,4855,3313,2389,1860,55,28
"000001000000","ALBANY County",2013,358,212,2682,2922,2912,2867,2947,2926,2979,3036,2868,3421,3027,2867,2927,133,212
"000002000000","ALLEGANY County",2013,348,0,470,491,512,495,507,471,506,520,479,559,513,512,480,19,23
"000000000001","NYC Public Schools",2012,22062,0,74171,75780,74095,72994,71056,69752,70610,69079,70654,89202,85228,67161,61746,8651,9817
"000000000002","Large Cities",2012,7482,0,8779,8504,8328,8238,8148,8132,7923,7903,7625,9700,7741,6494,6597,380,687
"000000000003","High Need/Resource Urban-Suburban Districts",2012,11699,1243,15817,16615,15933,15839,15450,15168,14939,14958,14552,16550,15103,14079,13555,789,960
"000003000000","BROOME County",2013,567,0,2141,2047,2040,1978,2074,2005,2183,2137,2162,2246,1991,2053,2095,104,121
"000004000000","CATTARAUGUS County",2013,512,0,1017,989,954,940,1009,1016,1010,1003,1031,1072,1010,968,1022,36,66
"000005000000","CAYUGA County",2013,154,0,724,768,674,670,692,753,720,767,725,812,747,736,761,18,0
"000002000000","ALLEGANY County",2014,366,0,494,468,496,492,491,513,486,518,511,501,531,477,509,17,21
"000003000000","BROOME County",2014,1034,0,2157,2054,2000,1983,1968,2047,1969,2209,2121,2208,2131,1885,2018,82,146
"000004000000","CATTARAUGUS County",2014,710,0,998,976,979,941,944,996,1021,1020,995,1074,1023,951,951,34,73
"000000000004","High Need/Resource Rural Districts",2012,6676,0,11941,11393,11222,11151,11158,11491,11552,11905,11758,12403,11860,11750,11855,362,530
"000000000005","Average Need Districts",2012,19811,6187,49167,55541,56796,58288,57903,59491,61347,60580,61386,64242,63744,62840,63856,2178,3595
"000000000006","Low Need Districts",2012,2918,4138,19804,25211,27083,28020,28293,28716,30440,31718,32331,32214,32932,32894,32696,874,1320
"000000000007","Charter Schools",2012,0,0,8200,8448,7671,6160,4811,6143,5718,4862,3577,3696,2716,2200,1357,90,18
"000005000000","CAYUGA County",2014,456,0,735,712,744,656,675,675,745,709,766,781,766,699,738,17,2
"000006000000","CHAUTAUQUA County",2014,887,0,1389,1495,1496,1390,1389,1420,1487,1544,1472,1550,1554,1415,1493,52,114
"000007000000","CHEMUNG County",2014,519,0,887,936,866,883,850,908,869,917,835,984,869,791,801,8,5
"000008000000","CHENANGO County",2014,322,0,574,553,512,526,529,554,554,594,571,624,611,569,565,18,31
"000009000000","CLINTON County",2014,207,0,850,846,786,775,782,769,831,857,859,895,829,827,889,58,44
"000001000000","ALBANY County",2012,1029,296,2577,2921,2926,2959,2886,2987,3042,2942,3085,3346,3097,2940,2959,132,185
"000002000000","ALLEGANY County",2012,387,0,492,532,500,534,491,510,511,487,555,538,536,492,541,17,13
"000003000000","BROOME County",2012,1094,0,2182,2079,1997,2104,2033,2208,2150,2197,2211,2109,2181,2138,2094,94,98
"000004000000","CATTARAUGUS County",2012,740,0,1051,983,952,1005,1008,985,1006,1045,1032,1059,1052,1046,982,28,49
"000005000000","CAYUGA County",2012,434,0,751,687,675,696,754,726,778,748,758,797,764,764,710,14,0
"000010000000","COLUMBIA County",2014,145,0,559,515,578,509,517,532,551,564,578,624,538,589,572,25,49
"000011000000","CORTLAND County",2014,187,0,529,494,465,496,483,465,486,509,489,515,521,478,491,21,18
"000012000000","DELAWARE County",2014,201,0,436,445,415,397,397,389,387,387,431,476,435,459,404,25,27
"000013000000","DUTCHESS County",2014,340,340,2376,2908,2809,2936,3023,3227,3122,3298,3391,3477,3520,3508,3559,93,98
"000006000000","CHAUTAUQUA County",2012,945,0,1517,1409,1415,1417,1483,1514,1492,1489,1570,1545,1594,1483,1510,55,123
"000007000000","CHEMUNG County",2012,520,0,921,930,879,939,887,969,895,986,893,904,883,870,865,9,9
"000008000000","CHENANGO County",2012,353,0,568,532,551,570,547,581,572,613,631,673,603,629,630,17,36
"000009000000","CLINTON County",2012,200,0,824,804,807,779,826,818,853,858,829,931,925,895,919,19,25
"000014000000","ERIE County",2014,5087,0,9190,9441,9107,9061,9208,9475,9579,9942,9931,9841,9701,9269,9557,464,764
"000015000000","ESSEX County",2014,140,0,285,252,273,260,258,281,248,301,291,306,314,330,311,15,18
"000016000000","FRANKLIN County",2014,320,0,572,538,562,539,548,520,523,563,552,602,579,576,593,15,37
"000017000000","FULTON County",2014,277,0,564,567,584,553,546,561,586,604,614,710,646,551,587,8,39
"000018000000","GENESEE County",2014,367,0,604,631,597,633,602,608,640,621,648,662,633,648,626,19,29
"000020000000","HAMILTON County",2012,30,2,36,46,40,47,37,47,41,32,36,33,33,52,35,6,0
"000021000000","HERKIMER County",2012,352,0,676,711,739,732,707,734,720,752,768,790,764,737,818,13,21
"000022000000","JEFFERSON County",2012,629,0,1698,1614,1517,1429,1449,1397,1405,1414,1326,1370,1324,1298,1316,53,64
"000023000000","LEWIS County",2012,154,0,311,324,301,315,336,307,321,295,314,327,324,325,370,10,10
"000024000000","LIVINGSTON County",2012,219,0,577,593,562,556,635,602,641,646,611,678,663,669,665,15,35
"000019000000","GREENE County",2014,147,0,442,460,456,466,436,450,468,456,454,482,489,509,516,22,27
"000020000000","HAMILTON County",2014,34,0,34,32,33,40,40,41,37,44,30,33,25,34,25,1,1
"000021000000","HERKIMER County",2014,333,0,682,743,661,669,697,742,696,739,718,765,746,705,718,16,29
"000022000000","JEFFERSON County",2014,619,0,1763,1643,1575,1413,1421,1330,1367,1341,1350,1343,1314,1249,1195,49,90
"000025000000","MADISON County",2012,242,0,705,732,704,729,723,752,798,803,842,876,843,799,870,30,27
"000026000000","MONROE County",2012,3205,2167,5732,8003,7969,8249,8157,8334,8500,8488,8576,9826,8649,8132,8282,256,472
"000027000000","MONTGOMERY County",2012,290,0,544,566,538,552,515,554,540,572,538,584,577,539,549,20,35
