"ENTITY_CD","ENTITY_NAME","YEAR","SUBGROUP_NAME","Completers","HSGraduates","RegentsDiplomas","PER_RegDipl","RegDipAdvDesig","PER_RegDipAdvDesig","RegDipCTE","PER_RegDipCTE","LocalDiplomas","PER_LocDip","CommCred","PER_CommCred"
"332200011405","MIDWOOD HIGH SCHOOL",2012,"All Students",,"873","838","96","456","52",,,,,,
"332200011405","MIDWOOD HIGH SCHOOL",2012,"General Education",,"850","829","98","453","53",,,,,,
"332200011405","MIDWOOD HIGH SCHOOL",2012,"Students with Disabilities",,"23","9","39","3","13",,,,,,
"331300011509","FREEDOM ACADEMY HIGH SCHOOL",2012,"All Students",,"40","31","78","1","03",,,,,,
"331300011509","FREEDOM ACADEMY HIGH SCHOOL",2012,"General Education",,"33","30","91","1","03",,,,,,
"331300011509","FREEDOM ACADEMY HIGH SCHOOL",2012,"Students with Disabilities",,"7","1","14","0","00",,,,,,
"421800010033","CORCORAN HIGH SCHOOL",2012,"All Students",,"213","169","79","23","11",,,,,,
"421800010033","CORCORAN HIGH SCHOOL",2012,"General Education",,"169","148","88","23","14",,,,,,
"421800010033","CORCORAN HIGH SCHOOL",2012,"Students with Disabilities",,"44","21","48","0","00",,,,,,
"421800010000","SYRACUSE CITY SCHOOL DISTRICT",2012,"All Students",,"890","718","81","113","13",,,,,,
"421800010000","SYRACUSE CITY SCHOOL DISTRICT",2012,"General Education",,"758","666","88","109","14",,,,,,
"421800010000","SYRACUSE CITY SCHOOL DISTRICT",2012,"Students with Disabilities",,"132","52","39","4","03",,,,,,
"421800010003","CLARY MIDDLE SCHOOL",2012,"All Students",,"0","0",,"0",,,,,,,
"421800010003","CLARY MIDDLE SCHOOL",2012,"General Education",,"0","0",,"0",,,,,,,
"421800010003","CLARY MIDDLE SCHOOL",2012,"Students with Disabilities",,"0","0",,"0",,,,,,,
"412201060000","HOLLAND PATENT CENTRAL SCHOOL DISTRICT",2012,"All Students",,"141","137","97","65","46",,,,,,
"412201060000","HOLLAND PATENT CENTRAL SCHOOL DISTRICT",2012,"General Education",,"131","130","99","65","50",,,,,,
"412201060000","HOLLAND PATENT CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"10","7","70","0","00",,,,,,
"411902040000","WATERVILLE CENTRAL SCHOOL DISTRICT",2012,"All Students",,"62","60","97","25","40",,,,,,
"411902040000","WATERVILLE CENTRAL SCHOOL DISTRICT",2012,"General Education",,"57","56","98","25","44",,,,,,
"411902040000","WATERVILLE CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"5","4","80","0","00",,,,,,
"411902040003","WATERVILLE JR/SR HIGH SCHOOL",2012,"All Students",,"59","57","97","25","42",,,,,,
"411902040003","WATERVILLE JR/SR HIGH SCHOOL",2012,"General Education",,"56","55","98","25","45",,,,,,
"411902040003","WATERVILLE JR/SR HIGH SCHOOL",2012,"Students with Disabilities",,"3","2","67","0","00",,,,,,
"412000050000","SHERRILL CITY SCHOOL DISTRICT",2012,"All Students",,"184","169","92","55","30",,,,,,
"412000050000","SHERRILL CITY SCHOOL DISTRICT",2012,"General Education",,"162","160","99","55","34",,,,,,
"412000050000","SHERRILL CITY SCHOOL DISTRICT",2012,"Students with Disabilities",,"22","9","41","0","00",,,,,,
"260401060000","GATES-CHILI CENTRAL SCHOOL DISTRICT",2012,"All Students",,"388","364","94","175","45",,,,,,
"260401060000","GATES-CHILI CENTRAL SCHOOL DISTRICT",2012,"General Education",,"334","332","99","173","52",,,,,,
"260401060000","GATES-CHILI CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"54","32","59","2","04",,,,,,
"500401060009","SUFFERN SENIOR HIGH SCHOOL",2012,"All Students",,"362","349","96","182","50",,,,,,
"500401060009","SUFFERN SENIOR HIGH SCHOOL",2012,"General Education",,"319","318","100","179","56",,,,,,
"500401060009","SUFFERN SENIOR HIGH SCHOOL",2012,"Students with Disabilities",,"43","31","72","3","07",,,,,,
"420901060007","CHARLES W BAKER HIGH SCHOOL",2012,"All Students",,"458","444","97","270","59",,,,,,
"420901060007","CHARLES W BAKER HIGH SCHOOL",2012,"General Education",,"412","408","99","257","62",,,,,,
"420901060007","CHARLES W BAKER HIGH SCHOOL",2012,"Students with Disabilities",,"46","36","78","13","28",,,,,,
"420807040000","LAFAYETTE CENTRAL SCHOOL DISTRICT",2012,"All Students",,"67","60","90","24","36",,,,,,
"420807040000","LAFAYETTE CENTRAL SCHOOL DISTRICT",2012,"General Education",,"57","53","93","22","39",,,,,,
"420807040000","LAFAYETTE CENTRAL SCHOOL DISTRICT",2012,"Students with Disabilities",,"10","7","70","2","20",,,,,,
"410401060000","ADIRONDACK CENTRAL SCHOOL DISTRICT",2012,"All Students",,"97","89","92","31","32",,,,,,
