"ENTITY_CD","ENTITY_NAME","YEAR","SUBGROUP_NAME","DROPOUT","PER_DROPOUT","EQUIV","PER_EQUIV","TOTALNON","PER_TOTALNON","TOTAL_ENROLLMENT_BASE"
"000000000001","NYC Public Schools",2014,"All Students","13812","05","1209","00","15021","05",301043
"000000000001","NYC Public Schools",2014,"General Education","10466","04","931","00","11397","05",247315
"000000000001","NYC Public Schools",2014,"Students with Disabilities","3346","06","278","01","3624","07",53728
"000000000002","Large Cities",2014,"All Students","2190","07","166","01","2356","08",30557
"000000000002","Large Cities",2014,"General Education","1662","07","127","01","1789","07",24927
"000000000002","Large Cities",2014,"Students with Disabilities","528","09","39","01","567","10",5630
"000000000003","High Need/Resource Urban-Suburban Districts",2014,"All Students","2956","05","312","01","3268","06",59415
"000000000003","High Need/Resource Urban-Suburban Districts",2014,"General Education","2292","05","249","00","2541","05",50754
"000000000003","High Need/Resource Urban-Suburban Districts",2014,"Students with Disabilities","664","08","63","01","727","08",8661
"000000000004","High Need/Resource Rural Districts",2014,"All Students","1332","03","172","00","1504","03",46568
"000000000004","High Need/Resource Rural Districts",2014,"General Education","870","02","123","00","993","03",39423
"000000000004","High Need/Resource Rural Districts",2014,"Students with Disabilities","462","06","49","01","511","07",7145
"000000000005","Average Need Districts",2014,"All Students","4006","02","758","00","4764","02",247466
"000000000005","Average Need Districts",2014,"General Education","2778","01","534","00","3312","02",213219
"000000000005","Average Need Districts",2014,"Students with Disabilities","1228","04","224","01","1452","04",34247
"000000000006","Low Need Districts",2014,"All Students","577","00","121","00","698","01",129507
"000000000006","Low Need Districts",2014,"General Education","391","00","77","00","468","00",113395
"000000000006","Low Need Districts",2014,"Students with Disabilities","186","01","44","00","230","01",16112
"000000000007","Charter Schools",2014,"All Students","365","02","64","00","429","03",15281
"000000000007","Charter Schools",2014,"General Education","282","02","48","00","330","03",12770
"000000000007","Charter Schools",2014,"Students with Disabilities","83","03","16","01","99","04",2511
"000000000001","NYC Public Schools",2013,"All Students","15431","05","1573","01","17004","05",311619
"000000000001","NYC Public Schools",2013,"General Education","12792","05","1310","01","14102","05",258745
"000000000001","NYC Public Schools",2013,"Students with Disabilities","2639","05","263","00","2902","05",52874
"000000000002","Large Cities",2013,"All Students","2552","08","124","00","2676","08",32235
"000000000002","Large Cities",2013,"General Education","1922","07","93","00","2015","08",25795
"000000000002","Large Cities",2013,"Students with Disabilities","630","10","31","00","661","10",6440
"000000000003","High Need/Resource Urban-Suburban Districts",2013,"All Students","2876","05","465","01","3341","05",62364
"000000000003","High Need/Resource Urban-Suburban Districts",2013,"General Education","2288","04","361","01","2649","05",51611
"000000000003","High Need/Resource Urban-Suburban Districts",2013,"Students with Disabilities","588","05","104","01","692","06",10753
"000000000004","High Need/Resource Rural Districts",2013,"All Students","1428","03","254","01","1682","04",47805
"000000000004","High Need/Resource Rural Districts",2013,"General Education","961","02","172","00","1133","03",39493
"000000000004","High Need/Resource Rural Districts",2013,"Students with Disabilities","467","06","82","01","549","07",8312
"000000000005","Average Need Districts",2013,"All Students","4405","02","1126","00","5531","02",256621
"000000000005","Average Need Districts",2013,"General Education","3108","01","781","00","3889","02",217350
"000000000005","Average Need Districts",2013,"Students with Disabilities","1297","03","345","01","1642","04",39263
"000000000006","Low Need Districts",2013,"All Students","579","00","140","00","719","01",123558
"000000000006","Low Need Districts",2013,"General Education","408","00","97","00","505","00",106472
