"ENTITY_CD","ENTITY_NAME","YEAR","SUBGROUP_NAME","TOTAL_GRAD_PLAN","NUM_4YR_COLLEGE","PER_4YR_COLLEGE","NUM_2YR_COLLEGE","PER_2YR_COLLEGE","NUM_POST_SECONDARY","PER_POST_SECONDARY","NUM_MILITARY","PER_MILITARY","NUM_EMPLOYMENT","PER_EMPLOYMENT","NUM_ADULT_SERVICES","PER_ADULT_SERVICES","NUM_OTHER","PER_OTHER","NUM_UNKNOWN","PER_UNKNOWN"
"000000000003","High Need/Resource Urban-Suburban Districts",2013,"Students with Disabilities",1797,"122","07","718","40","52","03","43","02","372","21","207","12","74","04","209","12"
"000000000004","High Need/Resource Rural Districts",2013,"All Students",11097,"3246","29","4496","41","261","02","524","05","2052","18","85","01","125","01","308","03"
"000000000004","High Need/Resource Rural Districts",2013,"General Education",9554,"3171","33","4062","43","202","02","469","05","1372","14","6","00","78","01","194","02"
"000000000004","High Need/Resource Rural Districts",2013,"Students with Disabilities",1543,"75","05","434","28","59","04","55","04","680","44","79","05","47","03","114","07"
"000000000005","Average Need Districts",2013,"All Students",61209,"27523","45","23020","38","1012","02","1645","03","5172","08","402","01","637","01","1798","03"
"000000000005","Average Need Districts",2013,"General Education",53621,"26712","50","19768","37","662","01","1427","03","3482","06","11","00","355","01","1204","02"
"000000000005","Average Need Districts",2013,"Students with Disabilities",7588,"811","11","3252","43","350","05","218","03","1690","22","391","05","282","04","594","08"
"000000000006","Low Need Districts",2013,"All Students",32839,"23815","73","6840","21","296","01","296","01","772","02","205","01","212","01","403","01"
"000000000006","Low Need Districts",2013,"General Education",29078,"22606","78","5261","18","181","01","251","01","453","02","4","00","106","00","216","01"
"000000000006","Low Need Districts",2013,"Students with Disabilities",3761,"1209","32","1579","42","115","03","45","01","319","08","201","05","106","03","187","05"
"000000000007","Charter Schools",2013,"All Students",1796,"770","43","460","26","18","01","17","01","48","03","1","00","8","00","474","26"
"000000000007","Charter Schools",2013,"General Education",1598,"726","45","390","24","12","01","16","01","37","02","0","00","8","01","409","26"
"000000000007","Charter Schools",2013,"Students with Disabilities",198,"44","22","70","35","6","03","1","01","11","06","1","01","0","00","65","33"
"000001000000","ALBANY County",2013,"All Students",2840,"1361","48","1096","39","37","01","57","02","143","05","39","01","36","01","71","03"
"000001000000","ALBANY County",2013,"General Education",2477,"1329","54","924","37","20","01","47","02","89","04","0","00","15","01","53","02"
"000001000000","ALBANY County",2013,"Students with Disabilities",363,"32","09","172","47","17","05","10","03","54","15","39","11","21","06","18","05"
"031401060000","WHITNEY POINT CENTRAL SCHOOL DISTRICT",2013,"All Students",95,"26","27","36","38","1","01","2","02","28","29","0","00","2","02","0","00"
"031401060000","WHITNEY POINT CENTRAL SCHOOL DISTRICT",2013,"General Education",78,"26","33","31","40","1","01","1","01","18","23","0","00","1","01","0","00"
"031401060000","WHITNEY POINT CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",17,"0","00","5","29","0","00","1","06","10","59","0","00","1","06","0","00"
"031401060004","WHITNEY POINT SENIOR HIGH SCHOOL",2013,"All Students",90,"26","29","35","39","1","01","2","02","25","28","0","00","1","01","0","00"
"031401060004","WHITNEY POINT SENIOR HIGH SCHOOL",2013,"General Education",77,"26","34","30","39","1","01","1","01","18","23","0","00","1","01","0","00"
"031401060004","WHITNEY POINT SENIOR HIGH SCHOOL",2013,"Students with Disabilities",13,"0","00","5","38","0","00","1","08","7","54","0","00","0","00","0","00"
"031501060000","UNION-ENDICOTT CENTRAL SCHOOL DISTRICT",2013,"All Students",328,"110","34","182","55","0","00","3","01","33","10","0","00","0","00","0","00"
"031501060000","UNION-ENDICOTT CENTRAL SCHOOL DISTRICT",2013,"General Education",278,"106","38","154","55","0","00","3","01","15","05","0","00","0","00","0","00"
"031501060000","UNION-ENDICOTT CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",50,"4","08","28","56","0","00","0","00","18","36","0","00","0","00","0","00"
"031501060012","UNION-ENDICOTT HIGH SCHOOL",2013,"All Students",315,"110","35","174","55","0","00","3","01","28","09","0","00","0","00","0","00"
"031501060012","UNION-ENDICOTT HIGH SCHOOL",2013,"General Education",269,"106","39","147","55","0","00","3","01","13","05","0","00","0","00","0","00"
"031501060012","UNION-ENDICOTT HIGH SCHOOL",2013,"Students with Disabilities",46,"4","09","27","59","0","00","0","00","15","33","0","00","0","00","0","00"
"031502060000","JOHNSON CITY CENTRAL SCHOOL DISTRICT",2013,"All Students",177,"43","24","93","53","0","00","9","05","16","09","0","00","12","07","4","02"
"031502060000","JOHNSON CITY CENTRAL SCHOOL DISTRICT",2013,"General Education",146,"41","28","80","55","0","00","9","06","12","08","0","00","2","01","2","01"
"031502060000","JOHNSON CITY CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",31,"2","06","13","42","0","00","0","00","4","13","0","00","10","32","2","06"
"031502060006","JOHNSON CITY SENIOR HIGH SCHOOL",2013,"All Students",174,"43","25","93","53","0","00","9","05","16","09","0","00","12","07","1","01"
"031502060006","JOHNSON CITY SENIOR HIGH SCHOOL",2013,"General Education",145,"41","28","80","55","0","00","9","06","12","08","0","00","2","01","1","01"
"031502060006","JOHNSON CITY SENIOR HIGH SCHOOL",2013,"Students with Disabilities",29,"2","07","13","45","0","00","0","00","4","14","0","00","10","34","0","00"
"031601060000","VESTAL CENTRAL SCHOOL DISTRICT",2013,"All Students",317,"151","48","121","38","6","02","8","03","21","07","1","00","3","01","6","02"
"031601060000","VESTAL CENTRAL SCHOOL DISTRICT",2013,"General Education",276,"149","54","97","35","6","02","6","02","12","04","0","00","2","01","4","01"
"031601060000","VESTAL CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",41,"2","05","24","59","0","00","2","05","9","22","1","02","1","02","2","05"
"031601060051","VESTAL SENIOR HIGH SCHOOL",2013,"All Students",297,"151","51","113","38","6","02","8","03","12","04","0","00","2","01","5","02"
"031601060051","VESTAL SENIOR HIGH SCHOOL",2013,"General Education",267,"149","56","93","35","6","02","6","02","8","03","0","00","2","01","3","01"
"031601060051","VESTAL SENIOR HIGH SCHOOL",2013,"Students with Disabilities",30,"2","07","20","67","0","00","2","07","4","13","0","00","0","00","2","07"
"031701060000","WINDSOR CENTRAL SCHOOL DISTRICT",2013,"All Students",148,"45","30","68","46","2","01","12","08","18","12","1","01","0","00","2","01"
"031701060000","WINDSOR CENTRAL SCHOOL DISTRICT",2013,"General Education",131,"44","34","61","47","2","02","8","06","14","11","0","00","0","00","2","02"
"031701060000","WINDSOR CENTRAL SCHOOL DISTRICT",2013,"Students with Disabilities",17,"1","06","7","41","0","00","4","24","4","24","1","06","0","00","0","00"
"031701060007","WINDSOR CENTRAL HIGH SCHOOL",2013,"All Students",145,"45","31","67","46","2","01","12","08","16","11","1","01","0","00","2","01"
