"ENTITY_CD","ENTITY_NAME","YEAR","SUBJECT","NO_NYSTP","NYSESLAT_NO_NYSTP"
"000000000001","NYC Public Schools",2013,"Grade 3 ELA",1127,1155
"000000000001","NYC Public Schools",2013,"Grade 4 ELA",1112,1139
"000000000001","NYC Public Schools",2013,"Grade 5 ELA",1166,1186
"000000000001","NYC Public Schools",2013,"Grade 6 ELA",1200,1225
"000000000001","NYC Public Schools",2013,"Grade 7 ELA",1231,1266
"000000000001","NYC Public Schools",2013,"Grade 8 ELA",1135,1176
"000000000002","Large Cities",2013,"Grade 3 ELA",102,101
"000000000002","Large Cities",2013,"Grade 4 ELA",121,121
"000000000002","Large Cities",2013,"Grade 5 ELA",104,105
"000000000002","Large Cities",2013,"Grade 6 ELA",129,132
"000000000002","Large Cities",2013,"Grade 7 ELA",124,125
"000000000002","Large Cities",2013,"Grade 8 ELA",137,141
"000000000003","High Need/Resource Urban-Suburban Districts",2013,"Grade 3 ELA",116,118
"000000000003","High Need/Resource Urban-Suburban Districts",2013,"Grade 4 ELA",131,129
"000000000003","High Need/Resource Urban-Suburban Districts",2013,"Grade 5 ELA",144,144
"000000000003","High Need/Resource Urban-Suburban Districts",2013,"Grade 6 ELA",151,150
"000000000003","High Need/Resource Urban-Suburban Districts",2013,"Grade 7 ELA",161,155
"000000000003","High Need/Resource Urban-Suburban Districts",2013,"Grade 8 ELA",133,132
"000000000004","High Need/Resource Rural Districts",2013,"Grade 3 ELA",8,8
"000000000004","High Need/Resource Rural Districts",2013,"Grade 4 ELA",8,8
"000000000004","High Need/Resource Rural Districts",2013,"Grade 5 ELA",7,7
"000000000004","High Need/Resource Rural Districts",2013,"Grade 6 ELA",5,5
"000000000004","High Need/Resource Rural Districts",2013,"Grade 7 ELA",3,4
"000000000004","High Need/Resource Rural Districts",2013,"Grade 8 ELA",10,10
"000000000005","Average Need Districts",2013,"Grade 3 ELA",116,117
"000000000005","Average Need Districts",2013,"Grade 4 ELA",122,118
"000000000005","Average Need Districts",2013,"Grade 5 ELA",138,137
"000000000005","Average Need Districts",2013,"Grade 6 ELA",136,134
"000000000005","Average Need Districts",2013,"Grade 7 ELA",136,136
"000000000005","Average Need Districts",2013,"Grade 8 ELA",117,121
"000000000006","Low Need Districts",2013,"Grade 3 ELA",99,99
"000000000001","NYC Public Schools",2014,"Grade 4 ELA",1122,1095
"000000000001","NYC Public Schools",2014,"Grade 5 ELA",1134,1107
"000000000001","NYC Public Schools",2014,"Grade 6 ELA",1155,1126
"000000000001","NYC Public Schools",2014,"Grade 7 ELA",1174,1139
"000000000001","NYC Public Schools",2014,"Grade 8 ELA",1132,1101
"000000000001","NYC Public Schools",2014,"Grade 3 ELA",1192,1159
"000000000002","Large Cities",2014,"Grade 6 ELA",146,133
"000000000002","Large Cities",2014,"Grade 7 ELA",116,111
"000000000002","Large Cities",2014,"Grade 5 ELA",141,132
"000000000002","Large Cities",2014,"Grade 4 ELA",160,151
"000000000002","Large Cities",2014,"Grade 3 ELA",149,133
"000000000002","Large Cities",2014,"Grade 8 ELA",170,155
"000000000003","High Need/Resource Urban-Suburban Districts",2014,"Grade 3 ELA",179,175
"000000000003","High Need/Resource Urban-Suburban Districts",2014,"Grade 4 ELA",173,173
"000000000003","High Need/Resource Urban-Suburban Districts",2014,"Grade 5 ELA",184,182
"000000000003","High Need/Resource Urban-Suburban Districts",2014,"Grade 6 ELA",185,179
"000000000003","High Need/Resource Urban-Suburban Districts",2014,"Grade 7 ELA",239,234
"000000000003","High Need/Resource Urban-Suburban Districts",2014,"Grade 8 ELA",225,222
"000000000006","Low Need Districts",2013,"Grade 4 ELA",83,82
"000000000006","Low Need Districts",2013,"Grade 5 ELA",90,91
"000000000006","Low Need Districts",2013,"Grade 6 ELA",67,66
"000000000006","Low Need Districts",2013,"Grade 7 ELA",78,77
"000000000006","Low Need Districts",2013,"Grade 8 ELA",70,70
"000000000007","Charter Schools",2013,"Grade 3 ELA",3,3
"000000000007","Charter Schools",2013,"Grade 4 ELA",2,2
"000000000007","Charter Schools",2013,"Grade 5 ELA",3,3
"000000000007","Charter Schools",2013,"Grade 6 ELA",1,2
"000000000007","Charter Schools",2013,"Grade 7 ELA",2,1
"000000000007","Charter Schools",2013,"Grade 8 ELA",1,1
"000000000005","Average Need Districts",2014,"Grade 3 ELA",152,148
"000000000005","Average Need Districts",2014,"Grade 4 ELA",156,150
"000000000004","High Need/Resource Rural Districts",2014,"Grade 4 ELA",11,10
"000000000004","High Need/Resource Rural Districts",2014,"Grade 5 ELA",9,9
"000000000005","Average Need Districts",2014,"Grade 5 ELA",156,153
"000000000005","Average Need Districts",2014,"Grade 6 ELA",162,160
"000000000005","Average Need Districts",2014,"Grade 7 ELA",157,155
"000000000005","Average Need Districts",2014,"Grade 8 ELA",163,159
"000000000006","Low Need Districts",2014,"Grade 4 ELA",94,91
"000000000006","Low Need Districts",2014,"Grade 8 ELA",113,109
"000000000006","Low Need Districts",2014,"Grade 7 ELA",99,98
"000000000006","Low Need Districts",2014,"Grade 5 ELA",81,77
"000000000006","Low Need Districts",2014,"Grade 3 ELA",97,97
"000000000006","Low Need Districts",2014,"Grade 6 ELA",72,70
"000000000007","Charter Schools",2014,"Grade 3 ELA",8,8
"000000000007","Charter Schools",2014,"Grade 4 ELA",7,7
"000000000007","Charter Schools",2014,"Grade 5 ELA",8,8
"000000000007","Charter Schools",2014,"Grade 6 ELA",2,2
"000000000007","Charter Schools",2014,"Grade 7 ELA",2,2
"000000000007","Charter Schools",2014,"Grade 8 ELA",1,1
"000001000000","ALBANY County",2014,"Grade 6 ELA",20,20
"000001000000","ALBANY County",2014,"Grade 7 ELA",22,21
"000001000000","ALBANY County",2014,"Grade 8 ELA",19,18
"000001000000","ALBANY County",2014,"Grade 3 ELA",15,14
"000001000000","ALBANY County",2014,"Grade 4 ELA",22,22
"000001000000","ALBANY County",2014,"Grade 5 ELA",13,12
"000003000000","BROOME County",2014,"Grade 4 ELA",4,4
"000003000000","BROOME County",2014,"Grade 5 ELA",4,4
"000003000000","BROOME County",2014,"Grade 6 ELA",5,5
"000003000000","BROOME County",2014,"Grade 7 ELA",2,2
"000003000000","BROOME County",2014,"Grade 8 ELA",2,2
"000003000000","BROOME County",2014,"Grade 3 ELA",4,4
"000005000000","CAYUGA County",2014,"Grade 6 ELA",1,1
"000006000000","CHAUTAUQUA County",2014,"Grade 5 ELA",3,3
"000006000000","CHAUTAUQUA County",2014,"Grade 8 ELA",6,6
"000000000004","High Need/Resource Rural Districts",2014,"Grade 6 ELA",10,10
"000000000004","High Need/Resource Rural Districts",2014,"Grade 7 ELA",11,11
"000000000004","High Need/Resource Rural Districts",2014,"Grade 8 ELA",16,16
"000006000000","CHAUTAUQUA County",2014,"Grade 6 ELA",8,7
"000006000000","CHAUTAUQUA County",2014,"Grade 4 ELA",8,8
"000006000000","CHAUTAUQUA County",2014,"Grade 3 ELA",4,3
"000006000000","CHAUTAUQUA County",2014,"Grade 7 ELA",9,9
"000007000000","CHEMUNG County",2014,"Grade 3 ELA",1,1
"000007000000","CHEMUNG County",2014,"Grade 5 ELA",1,1
"000007000000","CHEMUNG County",2014,"Grade 6 ELA",1,1
"000009000000","CLINTON County",2014,"Grade 6 ELA",1,1
"000009000000","CLINTON County",2014,"Grade 8 ELA",1,1
"000010000000","COLUMBIA County",2014,"Grade 3 ELA",1,1
"000010000000","COLUMBIA County",2014,"Grade 4 ELA",1,1
"000013000000","DUTCHESS County",2014,"Grade 4 ELA",8,8
