"DISTRICT_BEDS","DISTRICT_NAME","DISTRICT_NEEDS","PER_PUPIL_EXPENDITURE","DISTRICT_ID","HEDI"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3000675","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3001004","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3001011","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3001831","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3002234","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3002376","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3003726","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3003961","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3004650","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3005286","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3006304","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3006310","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3006758","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3006782","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3006795","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3007192","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3007906","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3007925","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3008712","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3008738","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3008798","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3009190","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3009931","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3010007","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3010174","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3010315","Ineffective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3010435","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3010583","Developing"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3010846","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3010975","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3011149","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3011314","Effective"
"010100010000","ALBANY CITY SCHOOL DISTRICT","Urban-Suburban High Needs","Medium","3012594","Ineffective"
