"ENTITY_CD","SCHOOL_NAME","YEAR","DISTRICT_CD","DISTRICT_NAME","CSO_NAME","STREET","CITY","PHONE","GRADE_RANGE","NUM_TEACH","NUM_NO_VALID_CERT","PER_NO_VALID_CERT","NUM_TEACH_OUT_CERT","PER_TEACH_OUT_CERT","NUM_FEWER_3YRS_EXP","PER_FEWER_3YRS_EXP","NUM_MAS_PLUS","PER_MAS_PLUS","NUM_CORE","PER_NOT_HQ","NUM_CLASS","NUM_NO_APPROP_CERT","PER_NO_APPROP_CERT","PER_TURN_FIVE_YRS","PER_TURN_ALL","NUM_FT_OTH_PROF_STAFF","NUM_PT_OTH_PROF_STAFF","NUM_FT_PARAPROFESSIONALS","NUM_PT_PARAPROFESSIONALS","NUM_FT_ASST_PRINCIPALS","NUM_PT_ASST_PRINCIPALS","NUM_FT_PRINCIPALS","NUM_PT_PRINCIPALS"
"331600010385","SCHOOL OF BUSINESS FINANCE & ENTREPRENEURSHIP",2012,"33160001","NYC GEOG DIST 16","GLYN MARRYSHOW","125 STUYVESANT AVE","BROOKLYN","7186023271","6-8, US",18,0,0,0,0,0,0,13,72,20,0,23,3,13,0,15,2,0,0,0,1,0,1,0
"331600010393","FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL",2012,"33160001","NYC GEOG DIST 16","ELVIN CRESPO","1010 LAFAYETTE AVE","BROOKLYN","7185742820","6-12",31,1,3,4,13,0,0,16,52,99,15,107,15,14,50,30,1,0,0,0,1,0,1,1
"010100010000","ALBANY CITY SCHOOL DISTRICT",2014,"01010001","ALBANY CITY SD","MARGUERITE VANDEN WYNGAARD","ACADEMY PARK","ALBANY","5184756010","PK-12, UE, US",650,0,0,6,1,29,4,91,14,1353,0,1996,25,1,19,16,170,2,173,0,8,0,16,0
"010100010014","MONTESSORI MAGNET SCHOOL",2014,"01010001","ALBANY CITY SD","MALIK JONES","65 TREMONT ST","ALBANY","5184756675","PK-5, UE",24,0,0,0,0,0,0,5,21,29,0,42,0,0,0,18,2,0,0,0,0,0,1,0
"010100010016","PINE HILLS ELEMENTARY SCHOOL",2014,"01010001","ALBANY CITY SD","VIBETTA SANDERS","41 N ALLEN ST","ALBANY","5184756725","K-6",24,0,0,0,0,3,13,3,13,20,0,34,0,0,0,25,2,0,0,0,0,0,1,0
"331600010534","UPPER SCHOOL AT PS 25",2012,"33160001","NYC GEOG DIST 16","WILLIAM COOPER","787 LAFAYETTE AVE","BROOKLYN","7185746032","6-8",18,0,0,2,11,0,0,8,44,54,6,65,13,20,17,13,2,0,0,0,1,0,1,0
"331600010584","MS 584",2012,"33160001","NYC GEOG DIST 16","GILLEYAN HARGROVE","130 ROCHESTER AVE","BROOKLYN","7186041380","6-8",19,0,0,0,0,0,0,2,11,22,0,27,5,19,33,21,6,0,0,0,1,0,1,0
"331600010627","BRIGHTER CHOICE COMMUNITY SCHOOL",2012,"33160001","NYC GEOG DIST 16","FABAYO MCINTOSH","280 HART ST","BROOKLYN","7185742378","K-5",10,1,10,2,20,1,10,2,20,9,22,10,2,20,0,14,1,0,0,0,0,0,1,0
"010100010018","DELAWARE COMMUNITY SCHOOL",2014,"01010001","ALBANY CITY SD","VACANT VACANT","43 BERTHA ST","ALBANY","5184756750","PK-5",33,0,0,3,9,2,6,6,18,35,9,50,3,6,50,9,2,4,0,0,0,0,1,0
"010100010019","NEW SCOTLAND ELEMENTARY SCHOOL",2014,"01010001","ALBANY CITY SD","DAVID AMODEO","369 NEW SCOTLAND AVE","ALBANY","5184756775","K-5, UE",37,0,0,0,0,1,3,4,11,37,0,54,1,2,0,8,3,0,0,0,0,0,1,0
