"ENTITY_CD","ENTITY_NAME","YEAR","COHORT","COHORT_MEMBERS","NUM_GRADS_ADVDESDIP","PER_GRADS_ADVDESDIP","NUM_GRADS_CTE","PER_GRADS_CTE"
"010100010000","ALBANY CITY SD",2014,2009,654,80,"12",0,"00"
"010100010034","ALBANY HIGH SCHOOL",2014,2009,614,80,"13",0,"00"
"010100860907","GREEN TECH HIGH CHARTER SCHOOL",2014,2009,56,17,"30",0,"00"
"010100860960","ALBANY LEADERSHIP CHARTER HS-GIRLS",2014,2009,27,4,"15",0,"00"
"010201040000","BERNE-KNOX-WESTERLO CSD",2014,2009,81,28,"35",19,"23"
"010201040001","BERNE-KNOX-WESTERLO JUNIOR-SENIOR HS",2014,2009,75,28,"37",19,"25"
"010306060000","BETHLEHEM CSD",2014,2009,464,267,"58",8,"02"
"010306060008","BETHLEHEM CENTRAL SENIOR HIGH SCHOOL",2014,2009,459,267,"58",8,"02"
"010402060000","RAVENA-COEYMANS-SELKIRK CSD",2014,2009,178,60,"34",2,"01"
"010402060001","RAVENA-COEYMANS-SELKIRK SR HS",2014,2009,176,60,"34",2,"01"
"010500010000","COHOES CITY SD",2014,2009,151,47,"31",7,"05"
"010500010007","COHOES HIGH SCHOOL",2014,2009,147,46,"31",7,"05"
"010601060000","SOUTH COLONIE CSD",2014,2009,450,220,"49",1,"00"
"010601060008","COLONIE CENTRAL HIGH SCHOOL",2014,2009,446,220,"49",1,"00"
"010623060000","NORTH COLONIE CSD",2014,2009,537,307,"57",2,"00"
"010623060010","SHAKER HIGH SCHOOL",2014,2009,535,307,"57",2,"00"
"010701030000","GREEN ISLAND UFSD",2014,2009,29,2,"07",0,"00"
"010701030001","HEATLY SCHOOL",2014,2009,25,2,"08",0,"00"
"010802060000","GUILDERLAND CSD",2014,2009,408,227,"56",9,"02"
"010802060005","GUILDERLAND HIGH SCHOOL",2014,2009,396,226,"57",8,"02"
"011003060000","VOORHEESVILLE CSD",2014,2009,89,37,"42",5,"06"
"011003060002","CLAYTON A BOUTON HIGH SCHOOL",2014,2009,86,37,"43",5,"06"
"011200010000","WATERVLIET CITY SD",2014,2009,105,10,"10",2,"02"
"011200010010","WATERVLIET JUNIOR-SENIOR HIGH SCHOOL",2014,2009,97,10,"10",2,"02"
"020101040000","ALFRED-ALMOND CSD",2014,2009,46,23,"50",5,"11"
"020101040002","ALFRED-ALMOND JUNIOR-SENIOR HIGH SCH",2014,2009,46,23,"50",5,"11"
"020601040000","ANDOVER CSD",2014,2009,29,5,"17",4,"14"
"020601040001","ANDOVER SCHOOL",2014,2009,28,5,"18",4,"14"
"020702040000","GENESEE VALLEY CSD",2014,2009,45,17,"38",0,"00"
"020702040001","GENESEE VALLEY CENTRAL SCHOOL",2014,2009,40,17,"43",0,"00"
"020801040000","BELFAST CSD",2014,2009,34,10,"29",1,"03"
"020801040001","BELFAST SCHOOL",2014,2009,34,10,"29",1,"03"
"021102040000","CANASERAGA CSD",2014,2009,22,1,"05",7,"32"
"021102040001","CANASERAGA SCHOOL",2014,2009,17,1,"06",5,"29"
"021601040000","FRIENDSHIP CSD",2014,2009,30,7,"23",11,"37"
"010100010000","ALBANY CITY SD",2013,2008,712,77,"11",0,"00"
"010100010034","ALBANY HIGH SCHOOL",2013,2008,658,76,"12",0,"00"
"010100860907","GREEN TECH HIGH CHARTER SCHOOL",2013,2008,41,2,"05",0,"00"
"010201040000","BERNE-KNOX-WESTERLO CSD",2013,2008,92,36,"39",13,"14"
"010201040001","BERNE-KNOX-WESTERLO JUNIOR-SENIOR HS",2013,2008,87,35,"40",13,"15"
"010306060000","BETHLEHEM CSD",2013,2008,394,221,"56",6,"02"
"010306060008","BETHLEHEM CENTRAL SENIOR HIGH SCHOOL",2013,2008,392,220,"56",6,"02"
"010402060000","RAVENA-COEYMANS-SELKIRK CSD",2013,2008,165,57,"35",0,"00"
"010402060001","RAVENA-COEYMANS-SELKIRK SR HS",2013,2008,160,57,"36",0,"00"
"010500010000","COHOES CITY SD",2013,2008,177,41,"23",3,"02"
"010500010007","COHOES HIGH SCHOOL",2013,2008,172,41,"24",3,"02"
"010601060000","SOUTH COLONIE CSD",2013,2008,456,208,"46",1,"00"
"010601060008","COLONIE CENTRAL HIGH SCHOOL",2013,2008,444,207,"47",1,"00"
"010615020000","MENANDS UFSD",2013,2008,2,0,"00",0,"00"
"010623060000","NORTH COLONIE CSD",2013,2008,506,298,"59",0,"00"
"010623060010","SHAKER HIGH SCHOOL",2013,2008,504,298,"59",0,"00"
"010701030000","GREEN ISLAND UFSD",2013,2008,29,5,"17",0,"00"
"010701030001","HEATLY SCHOOL",2013,2008,28,5,"18",0,"00"
"010802060000","GUILDERLAND CSD",2013,2008,484,263,"54",20,"04"
"021601040004","FRIENDSHIP CENTRAL SCHOOL",2014,2009,30,7,"23",11,"37"
"022001040000","FILLMORE CSD",2014,2009,48,16,"33",0,"00"
"022001040001","FILLMORE CENTRAL SCHOOL",2014,2009,47,16,"34",0,"00"
"022101040000","WHITESVILLE CSD",2014,2009,18,4,"22",3,"17"
"022101040001","WHITESVILLE CENTRAL SCHOOL",2014,2009,18,4,"22",3,"17"
"022302040000","CUBA-RUSHFORD CSD",2014,2009,70,21,"30",11,"16"
"022302040001","CUBA-RUSHFORD HIGH SCHOOL",2014,2009,66,21,"32",10,"15"
"022401040000","SCIO CSD",2014,2009,31,8,"26",7,"23"
"022401040003","SCIO CENTRAL SCHOOL",2014,2009,28,8,"29",7,"25"
"022601060000","WELLSVILLE CSD",2014,2009,103,36,"35",0,"00"
"022601060004","WELLSVILLE SENIOR HIGH SCHOOL",2014,2009,98,36,"37",0,"00"
"022902040000","BOLIVAR-RICHBURG CSD",2014,2009,56,10,"18",8,"14"
"022902040001","BOLIVAR-RICHBURG JUNIOR-SENIOR HS",2014,2009,55,10,"18",8,"15"
"030101060000","CHENANGO FORKS CSD",2014,2009,119,48,"40",3,"03"
"030101060003","CHENANGO FORKS HIGH SCHOOL",2014,2009,109,48,"44",3,"03"
"030200010000","BINGHAMTON CITY SD",2014,2009,456,56,"12",20,"04"
"030200010021","BINGHAMTON HIGH SCHOOL",2014,2009,415,56,"13",19,"05"
"010802060005","GUILDERLAND HIGH SCHOOL",2013,2008,474,262,"55",18,"04"
"011003060000","VOORHEESVILLE CSD",2013,2008,101,53,"52",6,"06"
